timestamp,tweet,username
Mon Oct 29 00:50:33 +0000 2018,"RT @sandiuno: 90 tahun yang lalu, para pendiri bangsa merumuskan cita-cita besar yang kita kenal sebagai sumpah pemuda. Tanah air, bangsa,…",agung_darmad1
Mon Oct 29 00:50:32 +0000 2018,PPWI Riau Bersama Zayu Lovers Club Siap Meriahkan Peringatan 90 Tahun Sumpah Pemuda https://t.co/zkZN9CLmN7 https://t.co/dau4UHKJpf,ranah_riau
Mon Oct 29 00:50:30 +0000 2018,"RT @Baroindra: Video ini bagus banget, nyindir pemuda pemudi zaman now yang lupa isi sumpah pemuda, bahkan banyak yang ngobrol sama satu ba…",Akhizaman3
Mon Oct 29 00:50:30 +0000 2018,Pengibaran Bendera Merah Putih dalam Upacara peringatan Hari Sumpah Pemuda 2018 dipimpin Inspektur Upacara Walikota… https://t.co/FIMhJBtfqf,newsrribogor
Mon Oct 29 00:50:30 +0000 2018,"RT @newsplatter: 90 tahun Sumpah Pemuda! 90 tahun lalu pemuda beda suku dan agama ngumpul bareng dan mikir, ""Kalo kita masih mentingin perb…",btungka1997
Mon Oct 29 00:50:25 +0000 2018,#RT @GenerasiMilenia: RT @AkuSukaSambal: 10  Anak  Muda  Berprestasi  Raih  Penghargaan  di  Hari  Sumpah  Pemuda https://t.co/BpFUOeEjqi,infoinfokeren
Mon Oct 29 00:50:22 +0000 2018,"RT @MyXL_Jabar: Peringatan Hari ""Sumpah Pemuda"" jatuh pada tanggal?

Yuk pilih jawaban yang tepat  dengan sertakan hashtag #XLTebakHari. Ja…",sudisudi_
Mon Oct 29 00:50:20 +0000 2018,"RT @UNJ_Official: Halo pemuda pemudi UNJ! Di hari Sumpah Pemuda ini, berita membanggakan datang dari pemuda pemudi UNJ yg berhasil memperta…",alvianoszta
Mon Oct 29 00:50:17 +0000 2018,"RT @Moohd_Ilham: Hari ini adalah sumpah pemuda untuk diriku yg sesosok pemuda sampah :""",megaldh
Mon Oct 29 00:50:17 +0000 2018,"RT @karniilyas: Demi Sumpah Pemuda, saya harap semua yg makan di restauran Jepsng, Korea atau Eropa jika memesan makanan, minta pelayan men…",syxjm
Mon Oct 29 00:50:14 +0000 2018,"RT @karniilyas: Demi Sumpah Pemuda, saya harap semua yg makan di restauran Jepsng, Korea atau Eropa jika memesan makanan, minta pelayan men…",WiendahWardanie
Mon Oct 29 00:50:12 +0000 2018,RT @jokopinurbo: Selamat Hari Sumpah Pemuda https://t.co/00UcLPe2bX,vansx__
Mon Oct 29 00:50:07 +0000 2018,"RT @ariel_heryanto: Sejak kapan bangsa Indonesia itu ada? 

Ketika pertanyaan itu saya ajukan di ruang kuliah di tanahair, jawaban orang In…",irfanofa
Mon Oct 29 00:50:07 +0000 2018,"Dalam rangka memperingati Hari Sumpah Pemuda, LPI Asy-Syarif Mojokerto mempunyai semangat tinggi dalam dunia pendid… https://t.co/rLEGspjMRI",lpiasysyarif
Mon Oct 29 00:50:05 +0000 2018,"RT @fauzi49161634: bersama temen2 @Informasi_FPI daerah sepatan kab tangerang,dan temen2 @Mjl_Rasulullah  tangerang. apel sumpah pemuda.yg…",dirutGaliKubur
Mon Oct 29 00:50:01 +0000 2018,"RT @dewahoya: Gue kira TO MU UC H  TO MU UC H apaan. Ternyata 😭😂 

Asli dah ngakak nonton ni video. Makna yang mau di sampein juga dalem ba…",ArneliaBrigitta
